dating_id,entity_id,date_type,depth_dating,dating_thickness,lab_num,material_dated,min_weight,max_weight,uncorr_age,uncorr_age_uncert_pos,uncorr_age_uncert_neg,c14_correction,calib_used,date_used,u238_content,u238_uncertainty,th232_content,th232_uncertainty,th230_content,th230_uncertainty,th230_th232_ratio,th230_th232_ratio_uncertainty,th230_u238_activity,th230_u238_activity_uncertainty,u234_u238_activity,u234_u238_activity_uncertainty,ini_230th_232th_ratio,ini_230th_232th_ratio_uncertainty,decay_constant,corr_age,corr_age_uncert_pos,corr_age_uncert_neg,date_used_lin_interp,date_used_lin_reg,date_used_bchron,date_used_bacon,date_used_oxcal,date_used_copra,date_used_stalage
9015,486,MC-ICP-MS U/Th,203,,203,calcite,,,113500,1000,1000,,,yes,856,2,1090,40,,,2424.780599,92.54887784,1.0029,0.0046,1.517,0.0031,0.814430125,0.407215062,Cheng et al. 2000,113400,1000,1000,yes,,yes,yes,,yes,yes
9016,486,MC-ICP-MS U/Th,228,,228,calcite,,,116800,1100,1100,,,yes,1091,3,1680,60,,,1999.055761,74.03910227,1.0039,0.0052,1.5119,0.0038,0.814430125,0.407215062,Cheng et al. 2000,116800,1100,1100,yes,,yes,yes,,yes,yes
9017,486,MC-ICP-MS U/Th,244,,244,calcite,,,119500,1300,1300,,,yes,891,2,1540,60,,,1813.958006,74.03910227,1.0222,0.0062,1.5128,0.0038,0.814430125,0.407215062,Cheng et al. 2000,119400,1300,1300,yes,,yes,yes,,yes,yes
9018,486,MC-ICP-MS U/Th,261,,261,calcite,,,121700,1000,1000,,,yes,737,2,2260,30,,,1040.249387,12.9568429,1.0437,0.0045,1.4893,0.0025,0.814430125,0.407215062,Cheng et al. 2000,121600,1000,1000,yes,,yes,yes,,yes,yes
9019,486,MC-ICP-MS U/Th,314,,314,calcite,,,122200,1400,1400,,,yes,954,3,5507,50,,,5550,370,1.042,0.0062,1.4975,0.0024,0.814430125,0.407215062,Cheng et al. 2000,122200,1400,1400,yes,,yes,yes,,yes,yes
9020,486,MC-ICP-MS U/Th,358,,358,calcite,,,124400,1500,1500,,,yes,745,3,1250,50,,,1980.545986,74.03910227,1.0833,0.0066,1.4747,0.0016,0.814430125,0.407215062,Cheng et al. 2000,124400,1500,1500,yes,,yes,yes,,yes,yes
9021,486,MC-ICP-MS U/Th,380,,380,calcite,,,126200,1500,1500,,,yes,1232,4,1390,60,,,3183.681398,129.568429,1.1762,0.0073,1.4805,0.0022,0.814430125,0.407215062,Cheng et al. 2000,126200,1500,1500,yes,,yes,yes,,yes,yes
9022,486,MC-ICP-MS U/Th,400,,400,calcite,,,127300,1000,1000,,,yes,737,2,4350,30,,,571.952065,3.701955113,1.1036,0.0048,1.4773,0.0024,0.814430125,0.407215062,Cheng et al. 2000,127200,1000,1000,yes,,yes,yes,,yes,yes
9023,487,MC-ICP-MS U/Th,73,,73,calcite,,,155600,2500,2500,,,yes,393,1,3300,40,,,608.9716162,9.254887784,1.67,0.0126,1.4619,0.0028,0.814430125,0.407215062,Cheng et al. 2000,155500,2500,2500,,,yes,,,,yes
9024,487,MC-ICP-MS U/Th,114,,114,calcite,,,162500,1600,1600,,,yes,331,1,8370,50,,,205.8287043,1.480782045,1.702,0.008,1.4365,0.0015,0.814430125,0.407215062,Cheng et al. 2000,162200,1600,1600,,,yes,,,,yes
